T60,Levene_Stat,P_Value
0.05,0.021479728360151804,0.8838577468684803
0.17,0.02869840309848692,0.8659158606995614
0.31,0.08087877079699515,0.7768636847969701
0.48,0.008222877948232038,0.9279792593305587
0.71,0.004341704425052565,0.9476327143464807
1.17,0.0045023085323182156,0.9466743943652309
1.92,0.007415920259853495,0.9315950894341614
3.15,0.0013842783719506626,0.9704158991087007
7.0,0.05393802885320545,0.8169555205409375
