rir,mean_score,record_count
mic6_src0,0.6260434848350332,252
mic2_src2,0.5485213538994166,252
mic2_src3,0.42366084336810866,252
mic6_src1,0.46171491318264224,252
mic2_src4,0.5759975537067024,252
mic3_src4,0.4980117992467456,252
mic7_src1,0.456581290302886,252
mic3_src3,0.38243377888912716,252
mic3_src2,0.5106708835473498,252
mic7_src0,0.41186257098803103,252
mic4_src3,0.42136000302421917,252
mic0_src1,0.39049450854471157,252
mic4_src4,0.5227307839190185,252
mic0_src0,0.5457862913242295,252
mic4_src2,0.5436206460192636,252
mic5_src2,0.5927301314582905,252
mic1_src0,0.43673688243778597,252
mic5_src4,0.6855795789803777,252
mic1_src1,0.632732924589982,252
mic5_src3,0.41869833399973294,252
mic6_src4,0.5502748584241484,252
mic2_src1,0.5367373476566315,252
mic6_src3,0.4675256200573136,252
mic6_src2,0.43205614193801906,252
mic2_src0,0.7575669446934994,252
mic3_src0,0.39683344798264397,252
mic7_src2,0.4309350030112481,252
mic7_src3,0.42446237347008764,252
mic3_src1,0.45459946856411126,252
mic7_src4,0.5069958431548491,252
mic0_src2,0.4582344732927535,252
mic4_src0,0.5839884910827867,252
mic0_src4,0.529197418674326,252
mic4_src1,0.5151013718182375,252
mic0_src3,0.49223535606453966,252
mic1_src3,0.5022881167921204,252
mic5_src1,0.4519330319270886,252
mic1_src4,0.3747925413058068,252
mic5_src0,0.4777783398167281,252
mic1_src2,0.5629831414559993,252
