rir,mean_score,record_count
mic6_src0,33.624238535181156,252
mic2_src2,18.929354325565516,252
mic2_src3,18.192707026623378,252
mic6_src1,23.028635188066094,252
mic2_src4,91.52973239299992,252
mic3_src4,17.97334393537425,252
mic7_src1,36.96210203222597,252
mic3_src3,36.93855591590388,252
mic3_src2,21.751564885687593,252
mic7_src0,18.0119500749976,252
mic4_src3,23.254428531922315,252
mic0_src1,27.89772504272266,252
mic4_src4,19.368254596784706,252
mic0_src0,24.882611856225083,252
mic4_src2,19.984148974546613,252
mic5_src2,22.71148035085703,252
mic1_src0,22.232335661059576,252
mic5_src4,20.802948423177558,252
mic1_src1,40.06133517782971,252
mic5_src3,26.080053861246633,252
mic6_src4,28.15329979750897,252
mic2_src1,23.42747245798058,252
mic6_src3,19.690318747593654,252
mic6_src2,18.822334672528555,252
mic2_src0,94.58064751116116,252
mic3_src0,18.090663751683408,252
mic7_src2,48.94259398756184,252
mic7_src3,50.28941455024248,252
mic3_src1,43.25165568925441,252
mic7_src4,18.586154460792425,252
mic0_src2,22.862840682075852,252
mic4_src0,21.429313605184344,252
mic0_src4,33.112893828065225,252
mic4_src1,26.043437017139468,252
mic0_src3,17.961065720092524,252
mic1_src3,22.530740810566677,252
mic5_src1,59.733291667172004,252
mic1_src4,25.067320161716783,252
mic5_src0,20.288258669055335,252
mic1_src2,28.001272255340904,252
