rir,mean_score,record_count
mic0_src0,0.9856255327241784,252
mic0_src1,0.9996135963522184,252
mic0_src2,0.9917730185097943,252
mic0_src3,0.9961331247685234,252
mic0_src4,0.98805339102307,252
mic1_src0,0.9752863922067148,252
mic1_src1,0.9959741736743152,252
mic1_src2,0.9965642923966237,252
mic1_src3,0.9955409409225777,252
mic1_src4,0.997020347632744,252
mic2_src0,0.9692036154627853,252
mic2_src1,0.9943747445034565,252
mic2_src2,0.9934154162566304,252
mic2_src3,0.9919937483919733,252
mic2_src4,0.9921443039043284,252
mic3_src0,0.9848437048514402,252
mic3_src1,0.9877171187376826,252
mic3_src2,0.9980081186550062,252
mic3_src3,0.9924742235685098,252
mic3_src4,0.9995806354387308,252
mic4_src0,0.9830072035062953,252
mic4_src1,0.9978932588530722,252
mic4_src2,0.9999231592040085,252
mic4_src3,0.9736654562882424,252
mic4_src4,0.9999724935933919,252
mic5_src0,0.9687898566277389,252
mic5_src1,0.9934154212254493,252
mic5_src2,0.9985857479148703,252
mic5_src3,0.9976805242241595,252
mic5_src4,0.9998009396934164,252
mic6_src0,0.9973781622161775,252
mic6_src1,0.9972421358004964,252
mic7_src1,0.9888135702852915,252
mic7_src0,0.9889586670387751,252
mic6_src4,0.9869430692496881,252
mic6_src3,0.9928271265966905,252
mic6_src2,0.9954984730636411,252
mic7_src2,0.9969032551641296,252
mic7_src3,0.9874860865232379,252
mic7_src4,0.9989634882117853,252
