rir,mean_score,record_count
mic6_src0,152.8592039046976,252
mic2_src2,80.41729413305943,252
mic2_src3,97.92270418748065,252
mic6_src1,118.52955868413736,252
mic2_src4,114.31635163515436,252
mic3_src4,209.66472983944035,252
mic7_src1,69.07139806371679,252
mic3_src3,67.73173188410277,252
mic3_src2,106.39139257548824,252
mic7_src0,55.320698927000386,252
mic4_src3,81.3401323943271,252
mic0_src1,177.44413349859707,252
mic4_src4,363.9319749510819,252
mic0_src0,116.56255982934253,252
mic4_src2,307.04774455870995,252
mic5_src2,150.17773150873586,252
mic1_src0,74.34970439764624,252
mic5_src4,190.26984402444103,252
mic1_src1,98.9841603031754,252
mic5_src3,93.52687881391684,252
mic6_src4,84.86157162607277,252
mic2_src1,82.90357414336493,252
mic6_src3,82.58520631703774,252
mic6_src2,106.61156944068225,252
mic2_src0,66.35065418202961,252
mic3_src0,59.59702563136656,252
mic7_src2,123.17769266309502,252
mic7_src3,69.92678817472992,252
mic3_src1,73.94407848283558,252
mic7_src4,176.18383942908716,252
mic0_src2,90.81154154761002,252
mic4_src0,70.64349539192861,252
mic0_src4,78.82583507874493,252
mic4_src1,101.61324608583716,252
mic0_src3,148.25380442007204,252
mic1_src3,110.04673450557881,252
mic5_src1,106.59278397392671,252
mic1_src4,120.03804672611508,252
mic5_src0,72.55527873814917,252
mic1_src2,96.79951304786115,252
