rir,mean_score,record_count
mic6_src0,0.05615398413213912,252
mic2_src2,0.06193559284974944,252
mic2_src3,0.08698825050174562,252
mic6_src1,0.14954218679515835,252
mic2_src4,0.003560894003501303,252
mic3_src4,0.11449351415873546,252
mic7_src1,-0.01614830553343309,252
mic3_src3,0.006116476809734094,252
mic3_src2,0.021755881841824233,252
mic7_src0,-0.010663607941850124,252
mic4_src3,0.0702833287046402,252
mic0_src1,-0.03335689221727353,252
mic4_src4,-0.026086632464715667,252
mic0_src0,-0.013849989144096924,252
mic4_src2,-0.0083823911624479,252
mic5_src2,0.09025099173393197,252
mic1_src0,0.01179857985339841,252
mic5_src4,0.0018064135907814964,252
mic1_src1,-0.010913067890016464,252
mic5_src3,0.07521207976247127,252
mic6_src4,0.06492573738084337,252
mic2_src1,-0.004777314339680088,252
mic6_src3,0.03449118740793233,252
mic6_src2,0.015793473916490754,252
mic2_src0,-0.00999576102236045,252
mic3_src0,0.06915526277089545,252
mic7_src2,-0.015388163563136199,252
mic7_src3,0.04323638085225231,252
mic3_src1,0.07041034942292412,252
mic7_src4,-0.02133215248023047,252
mic0_src2,-0.005194596559909052,252
mic4_src0,-0.013055342027386145,252
mic0_src4,-0.018024418726839794,252
mic4_src1,-0.026704297364256238,252
mic0_src3,0.06667574979235644,252
mic1_src3,-0.019927198929628798,252
mic5_src1,0.0007470777539857291,252
mic1_src4,0.011503477544043938,252
mic5_src0,-0.019573221029611117,252
mic1_src2,-0.020606621426207332,252
