rir,mean_score,record_count
mic0_src0,0.572,1
mic0_src1,0.576,1
mic0_src2,0.603,1
mic0_src3,0.615,1
mic1_src0,0.554,1
mic1_src1,0.591,1
mic1_src2,0.56,1
mic1_src3,0.578,1
mic2_src0,0.559,1
mic2_src1,0.609,1
mic2_src2,0.619,1
mic2_src3,0.592,1
mic3_src0,0.639,1
mic3_src1,0.598,1
mic3_src2,0.567,1
mic3_src3,0.573,1
mic4_src0,0.643,1
mic4_src1,0.567,1
mic4_src2,0.602,1
mic4_src3,0.589,1
mic5_src0,0.566,1
mic5_src1,0.596,1
mic5_src2,0.592,1
mic5_src3,0.651,1
mic6_src0,0.612,1
mic6_src1,0.598,1
mic6_src2,0.562,1
mic6_src3,0.56,1
mic7_src0,0.624,1
mic7_src1,0.58,1
mic7_src2,0.553,1
mic7_src3,0.605,1
mic8_src0,0.584,1
mic8_src1,0.566,1
mic8_src2,0.587,1
mic8_src3,0.586,1
mic9_src0,0.63,1
mic9_src1,0.579,1
mic9_src2,0.57,1
mic9_src3,0.606,1
