rir,mean_score,record_count
mic0_src0,0.408,1
mic0_src1,0.4,1
mic0_src2,0.43,1
mic0_src3,0.369,1
mic0_src4,0.413,1
mic1_src0,0.39,1
mic1_src1,0.4,1
mic1_src2,0.373,1
mic1_src3,0.383,1
mic1_src4,0.397,1
mic2_src0,0.361,1
mic2_src1,0.383,1
mic2_src2,0.406,1
mic2_src3,0.402,1
mic2_src4,0.335,1
mic3_src0,0.381,1
mic3_src1,0.406,1
mic3_src2,0.437,1
mic3_src3,0.392,1
mic3_src4,0.384,1
mic4_src0,0.407,1
mic4_src1,0.384,1
mic4_src2,0.408,1
mic4_src3,0.379,1
mic4_src4,0.408,1
mic5_src0,0.379,1
mic5_src1,0.398,1
mic5_src2,0.389,1
mic5_src3,0.379,1
mic5_src4,0.384,1
mic6_src0,0.383,1
mic6_src1,0.391,1
mic6_src2,0.411,1
mic6_src3,0.399,1
mic6_src4,0.422,1
mic7_src0,0.396,1
mic7_src1,0.406,1
mic7_src2,0.42,1
mic7_src3,0.442,1
mic7_src4,0.428,1
