rir,mean_score,record_count
mic0_src0,0.761,1
mic0_src1,0.779,1
mic0_src2,0.772,1
mic0_src3,0.753,1
mic0_src4,0.776,1
mic1_src0,0.753,1
mic1_src1,0.778,1
mic1_src2,0.76,1
mic1_src3,0.77,1
mic1_src4,0.771,1
mic2_src0,0.831,1
mic2_src1,0.747,1
mic2_src2,0.735,1
mic2_src3,0.753,1
mic2_src4,0.786,1
mic3_src0,0.758,1
mic3_src1,0.753,1
mic3_src2,0.724,1
mic3_src3,0.762,1
mic3_src4,0.787,1
mic4_src0,0.771,1
mic4_src1,0.759,1
mic4_src2,0.768,1
mic4_src3,0.757,1
mic4_src4,0.755,1
mic5_src0,0.755,1
mic5_src1,0.764,1
mic5_src2,0.781,1
mic5_src3,0.759,1
mic5_src4,0.785,1
mic6_src0,0.777,1
mic6_src1,0.754,1
mic6_src2,0.749,1
mic6_src3,0.747,1
mic6_src4,0.776,1
mic7_src0,0.753,1
mic7_src1,0.763,1
mic7_src2,0.773,1
mic7_src3,0.744,1
mic7_src4,0.757,1
