rir,mean_score,record_count
mic0_src0,0.996,1
mic0_src1,0.982,1
mic0_src2,0.98,1
mic0_src3,0.991,1
mic0_src4,0.979,1
mic1_src0,0.982,1
mic1_src1,0.977,1
mic1_src2,0.979,1
mic1_src3,0.978,1
mic1_src4,0.973,1
mic3_src0,0.98,1
mic3_src1,0.977,1
mic3_src2,0.98,1
mic3_src3,0.975,1
mic3_src4,0.981,1
mic4_src0,0.972,1
mic4_src1,0.977,1
mic4_src2,0.981,1
mic4_src3,0.975,1
mic4_src4,0.976,1
mic5_src0,0.977,1
mic5_src1,0.971,1
mic5_src2,0.982,1
mic5_src3,0.972,1
mic5_src4,0.971,1
mic6_src0,0.979,1
mic6_src1,0.986,1
mic6_src2,0.973,1
mic6_src3,0.976,1
mic6_src4,0.96,1
mic7_src0,0.975,1
mic7_src1,0.963,1
mic7_src2,0.979,1
mic7_src3,0.975,1
mic7_src4,0.985,1
mic8_src0,0.978,1
mic8_src1,0.988,1
mic8_src2,0.971,1
mic8_src3,0.977,1
mic8_src4,0.988,1
