rir,mean_score,record_count
mic0_src0,0.7831853640643265,252
mic0_src1,0.8589019524400442,252
mic0_src2,0.8098008390780431,252
mic0_src3,0.8339956307764674,252
mic0_src4,0.8467711485302399,252
mic1_src0,0.8152950408927567,252
mic1_src1,0.9202783328421049,252
mic1_src2,0.8510288433140965,252
mic1_src3,0.8523061908394747,252
mic1_src4,0.8156301351260898,252
mic2_src0,0.9788602311375251,252
mic2_src1,0.7559979731253842,252
mic2_src2,0.775742934116683,252
mic2_src3,0.8682832146448445,252
mic2_src4,0.9851926197504935,252
mic3_src0,0.805116684516715,252
mic3_src1,0.9348986829616981,252
mic3_src2,0.8292389168112397,252
mic3_src3,0.908193265900513,252
mic3_src4,0.7915010307715306,252
mic4_src0,0.8661871182111519,252
mic4_src1,0.8568762953674708,252
mic4_src2,0.8307436354145498,252
mic4_src3,0.8266923597682422,252
mic4_src4,0.832299466782149,252
mic5_src0,0.8085943425116252,252
mic5_src1,0.9630614190609311,252
mic5_src2,0.8335834570416393,252
mic5_src3,0.8212109501131764,252
mic5_src4,0.8258627159785595,252
mic6_src0,0.8458941787462017,252
mic6_src1,0.8403988714962248,252
mic7_src1,0.9464274559257247,252
mic7_src0,0.7880888556070094,252
mic6_src4,0.8766710408756719,252
mic6_src3,0.8766589615671381,252
mic6_src2,0.8478168679253877,252
mic7_src2,0.9380779902235166,252
mic7_src3,0.9268187876958146,252
mic7_src4,0.7616648613173679,252
